timestamp,principal,action,resource,label
2024-05-11T07:14:52.601278Z,user_8,assign_ssh_key_to_instance,instance_2,benign
2024-08-10T06:36:15.601278Z,user_1,list_all_objects_in_bucket,bucket_12,benign
2024-06-09T20:45:57.601278Z,user_1,list_all_objects_in_bucket,bucket_16,benign
2024-08-02T20:21:45.601278Z,service_account_1,list_all_instances_in_project,project_3,benign
2024-06-09T11:00:20.601278Z,user_6,list_all_buckets_of_project,project_1,benign
2023-11-21T04:33:21.601278Z,user_6,assume_service_account,service_account_1,benign
2024-01-03T06:34:48.601278Z,service_account_2,list_all_instances_in_project,project_1,benign
2023-09-30T00:09:42.601278Z,service_account_3,assume_service_account,service_account_4,benign
2023-10-30T18:51:00.601278Z,user_6,list_all_instances_in_project,project_2,malicious
2024-07-18T23:25:11.601278Z,user_5,read_object,data_object_16,benign
2023-12-10T15:01:13.601278Z,user_6,list_all_buckets_of_project,project_4,benign
2024-06-22T10:32:50.601278Z,user_1,list_all_objects_in_bucket,bucket_4,benign
2023-09-22T11:31:18.601278Z,user_2,log_on_to_instance,instance_10,benign
2024-01-15T09:56:23.601278Z,user_6,assign_ssh_key_to_instance,instance_23,benign
2024-07-22T12:44:00.601278Z,user_8,log_on_to_instance,instance_19,benign
2024-02-02T13:55:08.601278Z,user_10,list_all_objects_in_bucket,bucket_20,benign
2024-03-29T17:20:01.601278Z,user_6,read_object,data_object_52,benign
2024-05-18T15:17:25.601278Z,user_2,assign_ssh_key_to_instance,instance_24,benign
2024-05-08T02:00:55.601278Z,user_10,list_all_instances_in_project,project_1,benign
2023-11-23T04:10:42.601278Z,service_account_1,assign_ssh_key_to_instance,instance_31,benign
2024-05-17T19:18:20.601278Z,user_9,assume_service_account,service_account_5,benign
2023-10-04T12:38:00.601278Z,user_4,assign_ssh_key_to_instance,instance_28,benign
2024-06-14T21:01:31.601278Z,user_2,list_all_buckets_of_project,project_3,benign
2024-07-19T21:20:41.601278Z,service_account_2,list_all_objects_in_bucket,bucket_9,benign
2024-01-30T03:06:24.601278Z,user_3,list_all_objects_in_bucket,bucket_15,benign
2023-12-26T03:56:27.601278Z,user_10,log_on_to_instance,instance_37,benign
2024-06-16T19:21:25.601278Z,user_10,assume_service_account,service_account_3,benign
2024-07-30T18:51:07.601278Z,service_account_5,read_object,data_object_83,benign
2024-05-22T06:18:05.601278Z,user_4,read_object,data_object_35,malicious
2024-04-14T18:02:50.601278Z,service_account_4,list_all_instances_in_project,project_5,benign
2024-07-08T21:46:54.601278Z,user_6,assign_ssh_key_to_instance,instance_50,benign
2024-03-05T18:24:04.601278Z,service_account_2,list_all_instances_in_project,project_4,benign
2024-06-02T18:31:21.601278Z,user_3,read_object,data_object_37,benign
2024-01-13T04:50:29.601278Z,service_account_4,log_on_to_instance,instance_26,benign
2024-04-25T18:14:10.601278Z,user_1,log_on_to_instance,instance_47,benign
2024-07-07T18:45:08.601278Z,user_8,assume_service_account,service_account_1,benign
2023-10-16T21:02:47.601278Z,service_account_5,list_all_instances_in_project,project_5,benign
2024-05-04T11:32:38.601278Z,service_account_4,read_object,data_object_84,benign
2024-02-20T19:30:36.601278Z,user_8,log_on_to_instance,instance_6,benign
